"","Year","Reference_country","Scenario","Type","total","smoothed_cons","smoothed_cons_Mt"
"429",2020,"VN","SSP2","pork",27612465995.2037,17168025388.4736,17168.0253884736
"430",2025,"VN","SSP2","pork",33445779489.3752,23303173010.7497,23303.1730107497
"431",2030,"VN","SSP2","pork",39450580921.0586,28817698766.6637,28817.6987666637
"432",2040,"VN","SSP2","pork",49166586965.3256,43191199187.1409,43191.1991871409
"433",2050,"VN","SSP2","pork",47635361230.8045,NA,NA
"481",2015,"CH","SSP2","poultry",9439069413.22909,6577360939.02588,6577.36093902588
"482",2020,"CH","SSP2","poultry",11708499415.4696,8681238937.55674,8681.23893755674
"483",2025,"CH","SSP2","poultry",14320353917.768,11837245398.0446,11837.2453980446
"484",2030,"CH","SSP2","poultry",17313725778.3857,14814732827.9614,14814.7328279614
"485",2040,"CH","SSP2","poultry",24202394930.7665,23128194802.6419,23128.1948026419
"486",2050,"CH","SSP2","poultry",31306615713.8041,33918412827.0149,33918.4128270149
"534",2015,"BR","SSP2","poultry",8586113931.58951,6150407269.47784,6150.40726947784
"535",2020,"BR","SSP2","poultry",10815594570.752,8373927818.17913,8373.92781817913
"536",2025,"BR","SSP2","poultry",13505337775.593,11848573926.3296,11848.5739263296
"537",2030,"BR","SSP2","poultry",16787684534.8809,15242646247.2677,15242.6462472677
"538",2040,"BR","SSP2","poultry",25455606371.2742,25137680063.3669,25137.6800633669
"539",2050,"BR","SSP2","poultry",37395621112.5531,38602593129.0388,38602.5931290388
"667",2015,"VN","SSP2","poultry",7693298676.9173,5475613842.96417,5475.61384296417
"668",2020,"VN","SSP2","poultry",9020278563.75359,6406126597.40448,6406.12659740448
"669",2025,"VN","SSP2","poultry",10268701882.1825,7459481988.78765,7459.48198878765
"670",2030,"VN","SSP2","poultry",11260752825.3289,8170258328.55701,8170.25832855701
"671",2040,"VN","SSP2","poultry",11172667760.5532,9142446290.3738,9142.4462903738
"672",2050,"VN","SSP2","poultry",4821747484.01858,8910716402.29225,8910.71640229225
"720",2015,"CH","SSP2","mutton",3111295532.0794,2340046372.81597,2340.04637281597
"721",2020,"CH","SSP2","mutton",3767728892.23594,2935327669.08407,2935.32766908407
"722",2025,"CH","SSP2","mutton",4509842131.73566,3816675971.06099,3816.67597106099
"723",2030,"CH","SSP2","mutton",5344054022.39827,4639193678.05123,4639.19367805123
"724",2040,"CH","SSP2","mutton",7210342745.00065,6905923222.10968,6905.92322210968
"725",2050,"CH","SSP2","mutton",9052419755.93137,9806936993.31581,9806.93699331581
"773",2015,"BR","SSP2","mutton",1456965753.82228,1405940793.45092,1405.94079345092
"774",2020,"BR","SSP2","mutton",1635509639.94774,1573479402.02802,1573.47940202802
"775",2025,"BR","SSP2","mutton",1820232337.66709,1791243265.22276,1791.24326522276
"776",2030,"BR","SSP2","mutton",2008711035.48896,1970558822.02089,1970.55882202089
"777",2040,"BR","SSP2","mutton",2386025028.23189,2383552269.15702,2383.55226915702
"778",2050,"BR","SSP2","mutton",2743131534.04513,2797804827.01585,2797.80482701585
"826",2015,"EG","SSP2","mutton",1456965753.82228,1405940793.45092,1405.94079345092
"827",2020,"EG","SSP2","mutton",1635509639.94774,1573479402.02802,1573.47940202802
"828",2025,"EG","SSP2","mutton",1820232337.66709,1791243265.22276,1791.24326522276
"829",2030,"EG","SSP2","mutton",2008711035.48896,1970558822.02089,1970.55882202089
"830",2040,"EG","SSP2","mutton",2386025028.23189,2383552269.15702,2383.55226915702
"831",2050,"EG","SSP2","mutton",2743131534.04513,2797804827.01585,2797.80482701585
"879",2015,"VN","SSP2","mutton",1454528088.88186,1410777344.7521,1410.7773447521
"880",2020,"VN","SSP2","mutton",1655832874.18665,1616351567.35405,1616.35156735405
"881",2025,"VN","SSP2","mutton",1881252078.55008,1908243053.43255,1908.24305343255
"882",2030,"VN","SSP2","mutton",2139466801.71945,2171654480.77023,2171.65448077023
"883",2040,"VN","SSP2","mutton",2804079243.01264,2870316192.47794,2870.31619247794
"884",2050,"VN","SSP2","mutton",3795668887.58423,3730648362.26404,3730.64836226404
