Impact,Region,SSP,2020,2030,2040,2050
Fossil Fuels [EJ],Median,SSP5,0.149914966,0.307116891,0.680670629,0.936817962
Electricity [TWh],Central Europe,SSP1,13.05066995,21.64047123,41.14272342,55.38238713
Electricity [TWh],Central Europe,SSP2,12.94877718,19.06321897,33.68808611,54.11569008
Electricity [TWh],Central Europe,SSP3,13.09507872,19.24462406,26.32171695,34.10393713
Electricity [TWh],Central Europe,SSP4,13.01742022,19.23971331,26.79981823,38.92410208
Electricity [TWh],Central Europe,SSP5,13.02853953,22.3130661,45.21522736,59.29177591
Electricity [TWh],Central Latin America,SSP1,8.02560346,16.60155829,35.89555768,48.54843432
Electricity [TWh],Central Latin America,SSP2,7.657994181,13.76111144,27.67852738,47.64176984
Electricity [TWh],Central Latin America,SSP3,7.445675962,12.6151693,18.40979349,25.44803179
Electricity [TWh],Central Latin America,SSP4,7.307511264,12.74295235,19.71290549,30.54118811
Electricity [TWh],Central Latin America,SSP5,8.06034346,17.42686489,39.3926558,53.21813211
Electricity [TWh],East Asia,SSP1,8.05416909,16.63350193,35.44129806,48.23762451
Electricity [TWh],East Asia,SSP2,7.687290087,13.79709227,27.54743969,47.10695943
Electricity [TWh],East Asia,SSP3,7.4756472,12.65349912,18.45736625,25.50549228
Electricity [TWh],East Asia,SSP4,7.337438794,12.78111822,19.76009837,30.56727477
Electricity [TWh],East Asia,SSP5,8.088852841,17.39102179,38.9759634,52.74163955
Electricity [TWh],North Africa and Middle East,SSP1,8.452146069,17.67006141,39.54426571,53.97557697
Electricity [TWh],North Africa and Middle East,SSP2,7.928087636,14.71692023,29.47380482,52.43093263
Electricity [TWh],North Africa and Middle East,SSP3,7.7009208,13.20875874,19.52943996,27.17906591
Electricity [TWh],North Africa and Middle East,SSP4,7.552473084,13.55240715,20.99852078,32.50022051
Electricity [TWh],North Africa and Middle East,SSP5,8.543974055,18.52634423,43.71964105,58.69106382
Electricity [TWh],Median,SSP1,8.265566868,17.17374192,36.3114339,49.30011128
Electricity [TWh],Median,SSP2,7.836625196,14.2726368,28.11768104,48.18479001
Electricity [TWh],Median,SSP3,7.634691838,12.94777991,19.01406934,26.3672407
Electricity [TWh],Median,SSP4,7.49220361,13.18334245,20.39981078,31.56653196
Electricity [TWh],Median,SSP5,8.329629082,17.90747343,39.93681489,53.61840778
GHG [GtonCO2_eq],Central Europe,SSP1,0.477964613,0.725212418,1.194691415,1.478506575
GHG [GtonCO2_eq],Central Europe,SSP2,0.477693919,0.65647401,1.002495996,1.447103252
GHG [GtonCO2_eq],Central Europe,SSP3,0.481959228,0.671416339,0.833568089,0.983322601
GHG [GtonCO2_eq],Central Europe,SSP4,0.478459584,0.671191572,0.847000181,1.096204015
GHG [GtonCO2_eq],Central Europe,SSP5,0.477512592,0.738773484,1.316108712,1.587909216
GHG [GtonCO2_eq],Central Latin America,SSP1,0.286032287,0.561163124,0.978865884,1.17791046
GHG [GtonCO2_eq],Central Latin America,SSP2,0.27381942,0.475609737,0.847760913,1.267234518
