"Year","Reference_country_Scenario","SSP_Scenario","Type","Total_kg","total_Kt"
2025,"VN","SSP2","pork",43327614270.9533,43327.6142709533
2030,"VN","SSP2","pork",53231552494.7831,53231.5524947831
2035,"VN","SSP2","pork",62585222646.8769,62585.2226468769
2040,"VN","SSP2","pork",71565701432.3532,71565.7014323532
2045,"VN","SSP2","pork",79685040505.4622,79685.0405054622
2050,"VN","SSP2","pork",85875814477.242,85875.814477242
2010,"CH","SSP2","poultry",1388506374.42681,1388.5063744268
2011,"CH","SSP2","poultry",2776341563.78565,2776.34156378565
2012,"CH","SSP2","poultry",4070457871.55428,4070.45787155428
2013,"CH","SSP2","poultry",5279427410.14781,5279.42741014781
2015,"CH","SSP2","poultry",7473979534.93494,7473.97953493494
2020,"CH","SSP2","poultry",11985834403.8795,11985.8344038795
2025,"CH","SSP2","poultry",15675783733.5765,15675.7837335765
2030,"CH","SSP2","poultry",19052049432.2707,19052.0494322707
2035,"CH","SSP2","poultry",22402372803.0193,22402.3728030193
2040,"CH","SSP2","poultry",25817024782.5751,25817.0247825751
2045,"CH","SSP2","poultry",29211816180.2705,29211.8161802705
2050,"CH","SSP2","poultry",32351107916.9009,32351.1079169009
2010,"BR","SSP2","poultry",146537494.653981,146.537494653981
2011,"BR","SSP2","poultry",2853649151.74515,2853.64915174515
2012,"BR","SSP2","poultry",5389546568.33442,5389.54656833442
2013,"BR","SSP2","poultry",7770877141.20212,7770.87714120212
2015,"BR","SSP2","poultry",12133120816.1105,12133.1208161105
2020,"BR","SSP2","poultry",21374415746.7695,21374.4157467695
2025,"BR","SSP2","poultry",29481258017.1063,29481.2580171063
2030,"BR","SSP2","poultry",37711269644.4677,37711.2696444677
2035,"BR","SSP2","poultry",47007385942.4748,47007.3859424748
2040,"BR","SSP2","poultry",58036382530.4239,58036.3825304239
2045,"BR","SSP2","poultry",71227402342.6884,71227.4023426884
2050,"BR","SSP2","poultry",86810482638.121,86810.482638121
2010,"EG","SSP2","poultry",1842411690.63878,1842.41169063878
2011,"EG","SSP2","poultry",2746432665.23835,2746.43266523835
2012,"EG","SSP2","poultry",3591069156.30235,3591.06915630235
2013,"EG","SSP2","poultry",4381741122.70572,4381.74112270572
2015,"EG","SSP2","poultry",5821412607.14796,5821.41260714796
2020,"EG","SSP2","poultry",8800445501.15704,8800.44550115704
2025,"EG","SSP2","poultry",11248164486.4815,11248.1644864815
2030,"EG","SSP2","poultry",13474019687.6509,13474.0196876509
2035,"EG","SSP2","poultry",15643087205.2351,15643.0872052351
2040,"EG","SSP2","poultry",17790899081.1693,17790.8990811693
2045,"EG","SSP2","poultry",19838273264.0801,19838.2732640801
2050,"EG","SSP2","poultry",21606143574.6109,21606.1435746109
2010,"VN","SSP2","poultry",2101267835.90015,2101.26783590015
2011,"VN","SSP2","poultry",2720234869.12226,2720.23486912226
2012,"VN","SSP2","poultry",3332601966.09302,3332.60196609302
2013,"VN","SSP2","poultry",3940882106.99162,3940.88210699162
2015,"VN","SSP2","poultry",5156342769.30997,5156.34276930997
2020,"VN","SSP2","poultry",8341842192.68046,8341.84219268046
2025,"VN","SSP2","poultry",12135805406.7242,12135.8054067242
2030,"VN","SSP2","poultry",17149174943.258,17149.174943258
2035,"VN","SSP2","poultry",24122102481.0836,24122.1024810836
2040,"VN","SSP2","poultry",33920254761.8669,33920.2547618669
2045,"VN","SSP2","poultry",47531119506.0183,47531.1195060183
2050,"VN","SSP2","poultry",66060311328.5728,66060.3113285728
2010,"CH","SSP2","mutton",1042445597.67934,1042.44559767934
2011,"CH","SSP2","mutton",1372970702.15552,1372.97070215552
2012,"CH","SSP2","mutton",1682988869.56596,1682.98886956596
2013,"CH","SSP2","mutton",1974389701.69739,1974.38970169739
2015,"CH","SSP2","mutton",2508398407.11654,2508.39840711654
2020,"CH","SSP2","mutton",3631007062.06714,3631.00706206714
2025,"CH","SSP2","mutton",4575002759.08028,4575.00275908028
2030,"CH","SSP2","mutton",5450670773.89074,5450.67077389074
2035,"CH","SSP2","mutton",6318962062.92597,6318.96206292597
2040,"CH","SSP2","mutton",7196604864.81302,7196.60486481302
2045,"CH","SSP2","mutton",8061216301.88555,8061.21630188555
2050,"CH","SSP2","mutton",8856413981.69084,8856.41398169084
2010,"BR","SSP2","mutton",1330875802.59813,1330.87580259813
2011,"BR","SSP2","mutton",1353835826.86633,1353.83582686633
2012,"BR","SSP2","mutton",1378576892.08043,1378.57689208043
2013,"BR","SSP2","mutton",1404969872.5582,1404.9698725582
2015,"BR","SSP2","mutton",1462219177.20239,1462.21917720239
2020,"BR","SSP2","mutton",1626121024.41181,1626.12102441181
2025,"BR","SSP2","mutton",1809865649.10314,1809.86564910314
2030,"BR","SSP2","mutton",2003308680.03424,2003.30868003424
2035,"BR","SSP2","mutton",2198594214.42731,2198.59421442731
2040,"BR","SSP2","mutton",2389871962.55209,2389.87196255209
2045,"BR","SSP2","mutton",2573014392.30909,2573.01439230909
2050,"BR","SSP2","mutton",2745333873.81278,2745.33387381278
2010,"EG","SSP2","mutton",1330875802.59813,1330.87580259813
2011,"EG","SSP2","mutton",1353835826.86633,1353.83582686633
2012,"EG","SSP2","mutton",1378576892.08043,1378.57689208043
2013,"EG","SSP2","mutton",1404969872.5582,1404.9698725582
2015,"EG","SSP2","mutton",1462219177.20239,1462.21917720239
2020,"EG","SSP2","mutton",1626121024.41181,1626.12102441181
2025,"EG","SSP2","mutton",1809865649.10314,1809.86564910314
2030,"EG","SSP2","mutton",2003308680.03424,2003.30868003424
2035,"EG","SSP2","mutton",2198594214.42731,2198.59421442731
2040,"EG","SSP2","mutton",2389871962.55209,2389.87196255209
2045,"EG","SSP2","mutton",2573014392.30909,2573.01439230909
2050,"EG","SSP2","mutton",2745333873.81278,2745.33387381278
2010,"VN","SSP2","mutton",1316890323.01009,1316.89032301009
2011,"VN","SSP2","mutton",1354731526.89281,1354.73152689281
2012,"VN","SSP2","mutton",1393389726.82037,1393.38972682037
2013,"VN","SSP2","mutton",1432829784.0782,1432.8297840782
2015,"VN","SSP2","mutton",1513921101.6681,1513.9211016681
2020,"VN","SSP2","mutton",1728105644.99918,1728.10564499918
2025,"VN","SSP2","mutton",1955932478.33383,1955.93247833383
2030,"VN","SSP2","mutton",2194554200.79642,2194.55420079642
2035,"VN","SSP2","mutton",2441717505.22105,2441.71750522105
