"","continent","Year","Code","Meat.consumption.per.capita..kilograms.per.year.","cgdppc","Mutton...goat..kg.","Beef.and.buffalo..kg.","Pigmeat..kg.","Poultry..kg.","macrocontinent","state","chrstprot","chrstcat","chrstorth","chrstang","chrstothr","chrstgen","judorth","jdcons","judref","judothr","judgen","islmsun","islmshi","islmibd","islmnat","islmalw","islmahm","islmothr","islmgen","budmah","budthr","budothr","budgen","zorogen","hindgen","sikhgen","shntgen","bahgen","taogen","jaingen","confgen","syncgen","anmgen","nonrelig","othrgen","sumrelig","pop","chrstprotpct","chrstcatpct","chrstorthpct","chrstangpct","chrstothrpct","chrstgenpct","judorthpct","judconspct","judrefpct","judothrpct","judgenpct","islmsunpct","islmshipct","islmibdpct","islmnatpct","islmalwpct","islmahmpct","islmothrpct","islmgenpct","budmahpct","budthrpct","budothrpct","budgenpct","zorogenpct","hindgenpct","sikhgenpct","shntgenpct","bahgenpct","taogenpct","jaingenpct","confgenpct","syncgenpct","anmgenpct","nonreligpct","othrgenpct","sumreligpct","total","dualrelig","datatype","sourcereliab","recreliab","reliabilevel","Version","sourcecode","christians_share","jews_share","muslims_share","nonrelig_share","hindus_share","buddists_share","folk_share","other_share","Country","urbanisation","Meat live weight, cattle","Meat live weight, chicken","Meat live weight, goat","Meat live weight, pig","Item","deflated"
"1285","Central Europe",2010,"ROU",57.75,16393,3,7.35,29.58,17.03,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romania",53.829,100,100,100,100,"Cereals, Total",100
"1286","Central Europe",2010,"HUN",70.74,20365,0.11,5.31,40.48,23.69,"Europe",310,1799569,4677371,192155,0,0,6669095,0,0,0,10965,10965,0,0,0,0,0,0,4500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2688805,526635,9373365,9900000,0.1818,0.4725,0.0194,0,0,0.6736,0,0,0,0.0011,0.0011,0,0,0,0,0,0,5e-04,5e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2716,0.0532,0.9468,1,0,24,4,5,"High",1.1,117,1.3473,0.0022,0.001,0.2716,0,0,0,0,"Hungary",68.911,100,100,100,100,"Cereals, Total",100
"1287","Central Europe",2010,"BIH",29.55,8646,0.6,9.1,7.85,11.94,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bosnia and Herzegovina",45.558,100,100,100,100,"Cereals, Total",100
"1288","Central Europe",2010,"SRB",47.61,11872,2.36,9.5,26.89,8.84,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Serbia",54.993,100,100,100,100,"Cereals, Total",100
"1289","Central Europe",2010,"BGR",52.98,14971,1.85,4.97,26.31,18.79,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bulgaria",72.302,100,100,100,100,"Cereals, Total",100
"1290","Central Europe",2010,"CZE",83.7,25608,0.25,9.59,45.95,22.86,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Czechia",73.255,100,100,100,100,"Cereals, Total",100
"1291","Central Europe",2011,"SRB",49.22,12463,2.49,8.24,27.46,11,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.1336,115.730828156881,116.715860638069,105.39576159685,108.291556165557,"Cereals, Total",139.486430681463
"1292","Central Europe",2011,"BIH",33.49,8961,0.69,9.56,9,14.24,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.881,115.730828156881,116.715860638069,105.39576159685,108.291556165557,"Cereals, Total",139.486430681463
"1293","Central Europe",2011,"SVK",61.12,22483,0.15,4.6,37.19,16.27,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5258,115.730828156881,116.715860638069,105.39576159685,108.291556165557,"Cereals, Total",139.486430681463
"1294","Central Europe",2011,"POL",76.3,21837,0.05,2.43,51.24,22.44,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.7692,115.730828156881,116.715860638069,105.39576159685,108.291556165557,"Cereals, Total",139.486430681463
