"Year","SSP_Scenario","Scenario_region","Population","Type","Total_kg","total_Kt"
2045,"SSP3","East Asia",1830109832.57829,"poultry_tot",13815419327.5349,13815.4193275349
2045,"SSP3","Central Europe",1830109832.57829,"poultry_tot",14691021338.8276,14691.0213388276
2045,"SSP4","Central Latin America",1811950674.46014,"poultry_tot",19698542649.9279,19698.5426499279
2045,"SSP4","East Asia",1811950674.46014,"poultry_tot",14998074230.3506,14998.0742303506
2045,"SSP4","North Africa and Middle East",1811950674.46014,"poultry_tot",15974978031.5989,15974.9780315989
2045,"SSP4","Central Europe",1811950674.46014,"poultry_tot",15735357146.7357,15735.3571467357
2045,"SSP5","East Asia",1405100374.06876,"poultry_tot",20455477496.5365,20455.4774965365
2045,"SSP5","Central Europe",1405100374.06876,"poultry_tot",19168728977.8863,19168.7289778863
2045,"SSP5","Central Latin America",1405100374.06876,"poultry_tot",23065627669.9503,23065.6276699503
2045,"SSP5","North Africa and Middle East",1405100374.06876,"poultry_tot",18888321086.3479,18888.3210863479
2050,"SSP1","Central Europe",1488035847.16757,"poultry_tot",20615322290.3389,20615.3222903389
2050,"SSP1","East Asia",1488035847.16757,"poultry_tot",21836056778.5287,21836.0567785287
2050,"SSP1","North Africa and Middle East",1488035847.16757,"poultry_tot",20382001434.5316,20382.0014345316
2050,"SSP1","Central Latin America",1488035847.16757,"poultry_tot",24960904853.6871,24960.9048536871
2050,"SSP2","North Africa and Middle East",1714457208.77821,"poultry_tot",20052484254.2379,20052.4842542379
2050,"SSP2","Central Europe",1714457208.77821,"poultry_tot",19226608105.7142,19226.6081057142
2050,"SSP2","Central Latin America",1714457208.77821,"poultry_tot",22536523361.4658,22536.5233614658
2050,"SSP2","East Asia",1714457208.77821,"poultry_tot",18680703649.3989,18680.7036493989
2050,"SSP3","North Africa and Middle East",2004913219.23997,"poultry_tot",17766338494.2454,17766.3384942454
2050,"SSP3","Central Latin America",2004913219.23997,"poultry_tot",20367403915.5771,20367.4039155771
2050,"SSP3","East Asia",2004913219.23997,"poultry_tot",15972192692.1186,15972.1926921186
2050,"SSP3","Central Europe",2004913219.23997,"poultry_tot",17128734687.4779,17128.7346874779
