Year,SSP_Scenario,Scenario_region,Population,Type,Total_kg,total_Kt
2030,SSP2,East Asia,1255444397,poultry,9364376010,9364.37601
2030,SSP3,North Africa and Middle East,1337405243,poultry,7311187721,7311.187721
2030,SSP3,Central Latin America,1337405243,poultry,10454849173,10454.84917
2030,SSP3,East Asia,1337405243,poultry,7997458960,7997.45896
2030,SSP3,Central Europe,1337405243,poultry,8604746786,8604.746786
2030,SSP4,Central Latin America,1331684744,poultry,10581404864,10581.40486
2030,SSP4,East Asia,1331684744,poultry,8047547715,8047.547715
2030,SSP4,North Africa and Middle East,1331684744,poultry,7418821939,7418.821939
2030,SSP4,Central Europe,1331684744,poultry,8602096717,8602.096717
2030,SSP5,East Asia,1173819717,poultry,10230313694,10230.31369
2030,SSP5,Central Europe,1173819717,poultry,10278610385,10278.61038
2030,SSP5,Central Latin America,1173819717,poultry,13473245400,13473.2454
2030,SSP5,North Africa and Middle East,1173819717,poultry,9650899694,9650.899694
2035,SSP1,Central Europe,1268628969,poultry,11860505723,11860.50572
2035,SSP1,East Asia,1268628969,poultry,11645243395,11645.2434
2035,SSP1,North Africa and Middle East,1268628969,poultry,11381784252,11381.78425
2035,SSP1,Central Latin America,1268628969,poultry,14854268568,14854.26857
2035,SSP2,North Africa and Middle East,1373973759,poultry,11636426660,11636.42666
2035,SSP2,Central Europe,1373973759,poultry,11957140749,11957.14075
2035,SSP2,Central Latin America,1373973759,poultry,15890046430,15890.04643
2035,SSP2,East Asia,1373973759,poultry,11646998003,11646.998
2035,SSP3,North Africa and Middle East,1495467392,poultry,9417826117,9417.826117
2035,SSP3,Central Latin America,1495467392,poultry,12920418436,12920.41844
2035,SSP3,East Asia,1495467392,poultry,9587335459,9587.335459
2035,SSP3,Central Europe,1495467392,poultry,10510924162,10510.92416
2035,SSP4,Central Latin America,1486389922,poultry,13176926465,13176.92647
2035,SSP4,East Asia,1486389922,poultry,9656313042,9656.313042
2035,SSP4,North Africa and Middle East,1486389922,poultry,9679664865,9679.664865
2035,SSP4,Central Europe,1486389922,poultry,10542195756,10542.19576
2035,SSP5,East Asia,1257851769,poultry,12101681083,12101.68108
2035,SSP5,Central Europe,1257851769,poultry,12218549318,12218.54932
2035,SSP5,Central Latin America,1257851769,poultry,14969783899,14969.7839
2035,SSP5,North Africa and Middle East,1257851769,poultry,11976160858,11976.16086
2040,SSP1,Central Europe,1350538145,poultry,14202531229,14202.53123
2040,SSP1,East Asia,1350538145,poultry,13739195081,13739.19508
2040,SSP1,North Africa and Middle East,1350538145,poultry,13698988264,13698.98826
2040,SSP1,Central Latin America,1350538145,poultry,17031412717,17031.41272
2040,SSP2,North Africa and Middle East,1491265643,poultry,13608560694,13608.56069
2040,SSP2,Central Europe,1491265643,poultry,13926718657,13926.71866
2040,SSP2,Central Latin America,1491265643,poultry,17480373455,17480.37346
2040,SSP2,East Asia,1491265643,poultry,13096696675,13096.69668
2040,SSP3,North Africa and Middle East,1659910201,poultry,11593324336,11593.32434
2040,SSP3,Central Latin America,1659910201,poultry,15093517687,15093.51769
2040,SSP3,East Asia,1659910201,poultry,11031523500,11031.5235
2040,SSP3,Central Europe,1659910201,poultry,12353556239,12353.55624
2040,SSP4,Central Latin America,1646655145,poultry,15885720040,15885.72004
2040,SSP4,East Asia,1646655145,poultry,11507204572,11507.20457
2040,SSP4,North Africa and Middle East,1646655145,poultry,12107256528,12107.25653
2040,SSP4,Central Europe,1646655145,poultry,12783240000,12783.24
2040,SSP5,East Asia,1335860194,poultry,15315892303,15315.8923
2040,SSP5,Central Europe,1335860194,poultry,15690421966,15690.42197
2040,SSP5,Central Latin America,1335860194,poultry,18387968863,18387.96886
2040,SSP5,North Africa and Middle East,1335860194,poultry,14700342673,14700.34267
2045,SSP1,Central Europe,1424136936,poultry,17013623505,17013.62351
2045,SSP1,East Asia,1424136936,poultry,16940865751,16940.86575
2045,SSP1,North Africa and Middle East,1424136936,poultry,16806599500,16806.5995
2045,SSP1,Central Latin America,1424136936,poultry,20412634210,20412.63421
2045,SSP2,North Africa and Middle East,1605175585,poultry,16280198587,16280.19859
2045,SSP2,Central Europe,1605175585,poultry,15694460716,15694.46072
2045,SSP2,Central Latin America,1605175585,poultry,19141541462,19141.54146
2045,SSP2,East Asia,1605175585,poultry,15235794487,15235.79449
2045,SSP3,North Africa and Middle East,1830109833,poultry,13998880053,13998.88005
2045,SSP3,Central Latin America,1830109833,poultry,17801465015,17801.46502
2045,SSP3,East Asia,1830109833,poultry,12848441472,12848.44147
2045,SSP3,Central Europe,1830109833,poultry,14454630453,14454.63045
2045,SSP4,Central Latin America,1811950674,poultry,19689470357,19689.47036
2045,SSP4,East Asia,1811950674,poultry,14175644509,14175.64451
2045,SSP4,North Africa and Middle East,1811950674,poultry,15827703716,15827.70372
2045,SSP4,Central Europe,1811950674,poultry,15494053664,15494.05366
2045,SSP5,East Asia,1405100374,poultry,20294348514,20294.34851
2045,SSP5,Central Europe,1405100374,poultry,18626915795,18626.91579
2045,SSP5,Central Latin America,1405100374,poultry,23510664677,23510.66468
2045,SSP5,North Africa and Middle East,1405100374,poultry,18800505302,18800.5053
2050,SSP1,Central Europe,1488035847,poultry,20402994544,20402.99454
2050,SSP1,East Asia,1488035847,poultry,21729085401,21729.0854
2050,SSP1,North Africa and Middle East,1488035847,poultry,20250464988,20250.46499
2050,SSP1,Central Latin America,1488035847,poultry,25565637065,25565.63707
2050,SSP2,North Africa and Middle East,1714457209,poultry,18637133141,18637.13314
2050,SSP2,Central Europe,1714457209,poultry,18589729570,18589.72957
2050,SSP2,Central Latin America,1714457209,poultry,21822146951,21822.14695
2050,SSP2,East Asia,1714457209,poultry,18018733223,18018.73322
2050,SSP3,North Africa and Middle East,2004913219,poultry,16824191393,16824.19139
2050,SSP3,Central Latin America,2004913219,poultry,20648154356,20648.15436
2050,SSP3,East Asia,2004913219,poultry,15332579183,15332.57918
2050,SSP3,Central Europe,2004913219,poultry,16758445618,16758.44562
2050,SSP4,Central Latin America,1981120264,poultry,22670611590,22670.61159
2050,SSP4,East Asia,1981120264,poultry,16861292923,16861.29292
2050,SSP4,North Africa and Middle East,1981120264,poultry,18969997969,18969.99797
2050,SSP4,Central Europe,1981120264,poultry,17980142974,17980.14297
2050,SSP5,East Asia,1464277473,poultry,23372631952,23372.63195
2050,SSP5,Central Europe,1464277473,poultry,21389128561,21389.12856
2050,SSP5,Central Latin America,1464277473,poultry,27334662399,27334.6624
2050,SSP5,North Africa and Middle East,1464277473,poultry,21108892274,21108.89227
2015,SSP1,Central Europe,900712443.8,mutton,2150184549,2150.184549
2015,SSP1,East Asia,900712443.8,mutton,1550910797,1550.910797
2015,SSP1,North Africa and Middle East,900712443.8,mutton,2530189221,2530.189221
2015,SSP1,Central Latin America,900712443.8,mutton,1097166710,1097.16671
2015,SSP2,North Africa and Middle East,910603596.1,mutton,2598709783,2598.709783
2015,SSP2,Central Europe,910603596.1,mutton,2192851798,2192.851798
2015,SSP2,Central Latin America,910603596.1,mutton,1108761942,1108.761942
2015,SSP2,East Asia,910603596.1,mutton,1583275163,1583.275163
2015,SSP3,North Africa and Middle East,918630017.6,mutton,2611376515,2611.376515
2015,SSP3,Central Latin America,918630017.6,mutton,1123112671,1123.112671
2015,SSP3,East Asia,918630017.6,mutton,1589990560,1589.99056
2015,SSP3,Central Europe,918630017.6,mutton,2215496923,2215.496923
2015,SSP4,Central Latin America,918135325.1,mutton,1125668871,1125.668871
2015,SSP4,East Asia,918135325.1,mutton,1589134332,1589.134332
2015,SSP4,North Africa and Middle East,918135325.1,mutton,2609970260,2609.97026
2015,SSP4,Central Europe,918135325.1,mutton,2214303853,2214.303853
2015,SSP5,East Asia,900141094.2,mutton,1554892142,1554.892142
2015,SSP5,Central Europe,900141094.2,mutton,2152281020,2152.28102
2015,SSP5,Central Latin America,900141094.2,mutton,1099095512,1099.095512
2015,SSP5,North Africa and Middle East,900141094.2,mutton,2532026641,2532.026641
2020,SSP1,Central Europe,996712840.3,mutton,2308010647,2308.010647
2020,SSP1,East Asia,996712840.3,mutton,1727413485,1727.413485
2020,SSP1,North Africa and Middle East,996712840.3,mutton,2714613445,2714.613445
2020,SSP1,Central Latin America,996712840.3,mutton,1092642971,1092.642971
2020,SSP2,North Africa and Middle East,1022193525,mutton,2695365650,2695.36565
2020,SSP2,Central Europe,1022193525,mutton,2366425988,2366.425988
2020,SSP2,Central Latin America,1022193525,mutton,1199810736,1199.810736
2020,SSP2,East Asia,1022193525,mutton,1683580773,1683.580773
2020,SSP3,North Africa and Middle East,1045757433,mutton,2717760941,2717.760941
2020,SSP3,Central Latin America,1045757433,mutton,1176570732,1176.570732
2020,SSP3,East Asia,1045757433,mutton,1703517524,1703.517524
2020,SSP3,Central Europe,1045757433,mutton,2345240850,2345.24085
2020,SSP4,Central Latin America,1044232337,mutton,1174854862,1174.854862
2020,SSP4,East Asia,1044232337,mutton,1698206320,1698.20632
2020,SSP4,North Africa and Middle East,1044232337,mutton,2707767939,2707.767939
2020,SSP4,Central Europe,1044232337,mutton,2341820633,2341.820633
2020,SSP5,East Asia,994750142.5,mutton,1752430350,1752.43035
2020,SSP5,Central Europe,994750142.5,mutton,2336630265,2336.630265
2020,SSP5,Central Latin America,994750142.5,mutton,1109545221,1109.545221
2020,SSP5,North Africa and Middle East,994750142.5,mutton,2760035364,2760.035364
2025,SSP1,Central Europe,1091533250,mutton,2942899207,2942.899207
2025,SSP1,East Asia,1091533250,mutton,2120734454,2120.734454
2025,SSP1,North Africa and Middle East,1091533250,mutton,3250419338,3250.419338
2025,SSP1,Central Latin America,1091533250,mutton,1230143692,1230.143692
2025,SSP2,North Africa and Middle East,1137645211,mutton,3298378331,3298.378331
2025,SSP2,Central Europe,1137645211,mutton,2898554795,2898.554795
2025,SSP2,Central Latin America,1137645211,mutton,1249008280,1249.00828
2025,SSP2,East Asia,1137645211,mutton,2103161627,2103.161627
2025,SSP3,North Africa and Middle East,1185186941,mutton,3085706394,3085.706394
2025,SSP3,Central Latin America,1185186941,mutton,1317172369,1317.172369
2025,SSP3,East Asia,1185186941,mutton,1925910258,1925.910258
2025,SSP3,Central Europe,1185186941,mutton,2871606808,2871.606808
2025,SSP4,Central Latin America,1181892226,mutton,1255255278,1255.255278
2025,SSP4,East Asia,1181892226,mutton,1925165778,1925.165778
2025,SSP4,North Africa and Middle East,1181892226,mutton,3081116305,3081.116305
2025,SSP4,Central Europe,1181892226,mutton,2805368528,2805.368528
2025,SSP5,East Asia,1087101836,mutton,2258813977,2258.813977
2025,SSP5,Central Europe,1087101836,mutton,2958721471,2958.721471
2025,SSP5,Central Latin America,1087101836,mutton,1305831609,1305.831609
2025,SSP5,North Africa and Middle East,1087101836,mutton,3305253761,3305.253761
2030,SSP1,Central Europe,1181202385,mutton,3459067690,3459.06769
2030,SSP1,East Asia,1181202385,mutton,2660275466,2660.275466
2030,SSP1,North Africa and Middle East,1181202385,mutton,3956956650,3956.95665
2030,SSP1,Central Latin America,1181202385,mutton,1411557118,1411.557118
2030,SSP2,North Africa and Middle East,1255444397,mutton,3884124749,3884.124749
2030,SSP2,Central Europe,1255444397,mutton,3406142099,3406.142099
2030,SSP2,Central Latin America,1255444397,mutton,1387958561,1387.958561
2030,SSP2,East Asia,1255444397,mutton,2537631260,2537.63126
2030,SSP3,North Africa and Middle East,1337405243,mutton,3689665989,3689.665989
2030,SSP3,Central Latin America,1337405243,mutton,1438491468,1438.491468
2030,SSP3,East Asia,1337405243,mutton,2249298290,2249.29829
2030,SSP3,Central Europe,1337405243,mutton,3280364573,3280.364573
2030,SSP4,Central Latin America,1331684744,mutton,1437636431,1437.636431
2030,SSP4,East Asia,1331684744,mutton,2305601559,2305.601559
2030,SSP4,North Africa and Middle East,1331684744,mutton,3759137190,3759.13719
2030,SSP4,Central Europe,1331684744,mutton,3331192022,3331.192022
2030,SSP5,East Asia,1173819717,mutton,2758758905,2758.758905
2030,SSP5,Central Europe,1173819717,mutton,3556347133,3556.347133
2030,SSP5,Central Latin America,1173819717,mutton,1460932871,1460.932871
