Impact,Scenario,SSP,Production,2020,2030,2040,2050
Land,East Asia,SSP2,hightech,0.220078367,0.314160344,0.493167287,0.701823747
Land,East Asia,SSP3,hightech,0.21539176,0.297017799,0.386318684,0.497635049
Land,North Africa and Middle East,SSP1,hightech,0.226600358,0.358818862,0.580830642,0.70094969
Land,North Africa and Middle East,SSP2,hightech,0.21958123,0.318282478,0.506350897,0.742491219
Land,North Africa and Middle East,SSP3,hightech,0.213674948,0.298687272,0.390880879,0.503870836
Water,Central Europe,SSP1,hightech,2.463203167,3.581283702,6.188474698,8.07238021
Water,Central Europe,SSP2,hightech,2.448434604,3.231440598,5.160112839,7.904954296
Water,Central Europe,SSP3,hightech,2.47200756,3.25700652,4.156308392,5.151209008
Water,Central Latin America,SSP1,hightech,1.811385882,2.907251693,5.412581159,7.009906057
Water,Central Latin America,SSP2,hightech,1.76378735,2.524560346,4.349235832,6.94748155
Water,Central Latin America,SSP3,hightech,1.74083298,2.390907856,3.118263749,3.994193961
Water,East Asia,SSP1,hightech,1.816796175,2.916891983,5.353486375,6.974898591
Water,East Asia,SSP2,hightech,1.769335956,2.531375069,4.335594227,6.879319597
Water,East Asia,SSP3,hightech,1.746509493,2.398167474,3.127273968,4.005076903
Water,North Africa and Middle East,SSP1,hightech,1.870095729,3.069141745,5.950212083,7.813575806
Water,North Africa and Middle East,SSP2,hightech,1.799709619,2.665803582,4.623331516,7.65700183
Water,North Africa and Middle East,SSP3,hightech,1.773861518,2.472765863,3.278700778,4.250360859
Energy,Central Europe,SSP1,hightech,0.212254223,0.316453567,0.54438082,0.685840509
Energy,Central Europe,SSP2,hightech,0.209463549,0.280973252,0.463124574,0.688632898
Energy,Central Europe,SSP3,hightech,0.209443084,0.279134311,0.356358581,0.444791361
Energy,Central Latin America,SSP1,hightech,0.151986693,0.249813263,0.476314445,0.617845715
Energy,Central Latin America,SSP2,hightech,0.146804031,0.216713871,0.378402821,0.603960195
Energy,Central Latin America,SSP3,hightech,0.143920318,0.20086167,0.263129164,0.341563811
Energy,East Asia,SSP1,hightech,0.152291435,0.250163912,0.473479291,0.616022859
Energy,East Asia,SSP2,hightech,0.147116564,0.217097719,0.377688995,0.600240683
Energy,East Asia,SSP3,hightech,0.144240055,0.201270578,0.263636677,0.342176807
Energy,North Africa and Middle East,SSP1,hightech,0.157659927,0.260507445,0.509345141,0.667437082
Energy,North Africa and Middle East,SSP2,hightech,0.151098442,0.227663027,0.395741473,0.647659422
Energy,North Africa and Middle East,SSP3,hightech,0.148519722,0.208716447,0.276489614,0.361809839
GHG,Central Europe,SSP1,hightech,89.18847275,130.3608322,218.9171506,279.6624296
GHG,Central Europe,SSP2,hightech,88.48431433,117.6553632,187.0366071,278.8185767
GHG,Central Europe,SSP3,hightech,88.72062977,118.1859958,150.300795,187.1919493
GHG,Central Latin America,SSP1,hightech,62.83622358,101.4203351,176.7010334,219.49197
GHG,Central Latin America,SSP2,hightech,60.9085013,88.70058895,148.6772731,225.1072885
GHG,Central Latin America,SSP3,hightech,59.64550484,82.98255932,108.3389111,140.2434575
GHG,East Asia,SSP1,hightech,62.79692764,101.3975533,174.9605746,217.8015567
GHG,East Asia,SSP2,hightech,60.86820077,88.65109237,148.0336966,223.0534452
GHG,East Asia,SSP3,hightech,59.60427528,82.9298314,108.2734682,140.1644127
GHG,North Africa and Middle East,SSP1,hightech,64.05389854,104.3919982,186.9779952,234.9416734
GHG,North Africa and Middle East,SSP2,hightech,61.61411108,91.50246744,153.7365479,238.5665587
GHG,North Africa and Middle East,SSP3,hightech,60.23209812,84.70763084,111.623587,145.2679161
