Impact,Scenario,SSP,Production,2020,2030,2040,2050
N2O,Central Europe,SSP2,hightech,14.40809112,18.93696435,29.23876867,44.11790142
N2O,Central Europe,SSP3,hightech,14.52011442,19.19905014,24.39897186,30.23982702
N2O,Central Latin America,SSP1,hightech,10.36539014,16.41547861,27.71679106,34.23683121
N2O,Central Latin America,SSP2,hightech,10.10284607,14.43440823,23.69390355,35.54405425
N2O,Central Latin America,SSP3,hightech,9.924157052,13.66892141,17.79503659,22.86495413
N2O,East Asia,SSP1,hightech,10.35847366,16.4147721,27.33967652,33.89002119
N2O,East Asia,SSP2,hightech,10.09575277,14.42569633,23.55858105,35.1185017
N2O,East Asia,SSP3,hightech,9.916900235,13.65964077,17.78351798,22.85104145
N2O,North Africa and Middle East,SSP1,hightech,10.50807693,16.93849844,29.67291828,37.15814167
N2O,North Africa and Middle East,SSP2,hightech,10.14746938,14.85957005,24.61604188,38.09418208
N2O,North Africa and Middle East,SSP3,hightech,9.925828395,13.87496349,18.26337107,23.60699998
