,,,,2020,2030,2040,2050
Water Cons. Green [BCM],North Africa and Middle East,SSP2,pessimistic,0,0,0,0.0
Water Cons. Green [BCM],North Africa and Middle East,SSP2,baseline,0,0,0,0.0
Water Cons. Green [BCM],North Africa and Middle East,SSP2,optimistic,0,0,0,0.0
Water Cons. Green [BCM],North Africa and Middle East,SSP3,pessimistic,0,0,0,0.0
Water Cons. Green [BCM],North Africa and Middle East,SSP3,baseline,0,0,0,0.0
Water Cons. Green [BCM],North Africa and Middle East,SSP3,optimistic,0,0,0,0.0
Water Cons. Green [BCM],North Africa and Middle East,SSP4,pessimistic,0,0,0,0.0
Water Cons. Green [BCM],North Africa and Middle East,SSP4,baseline,0,0,0,0.0
Water Cons. Green [BCM],North Africa and Middle East,SSP4,optimistic,0,0,0,0.0
Water Cons. Green [BCM],North Africa and Middle East,SSP5,pessimistic,0,0,0,0.0
Water Cons. Green [BCM],North Africa and Middle East,SSP5,baseline,0,0,0,497.33255761104925
Water Cons. Green [BCM],North Africa and Middle East,SSP5,optimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP1,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP1,baseline,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP1,optimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP2,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP2,baseline,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP2,optimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP3,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP3,baseline,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP3,optimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP4,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP4,baseline,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP4,optimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP5,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP5,baseline,0,0,0,0.0
Fossil Fuels [EJ],Central Europe,SSP5,optimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP1,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP1,baseline,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP1,optimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP2,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP2,baseline,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP2,optimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP3,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP3,baseline,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP3,optimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP4,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP4,baseline,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP4,optimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP5,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP5,baseline,0,0,0,0.0
Fossil Fuels [EJ],Central Latin America,SSP5,optimistic,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP1,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP1,baseline,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP1,optimistic,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP2,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP2,baseline,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP2,optimistic,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP3,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP3,baseline,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP3,optimistic,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP4,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP4,baseline,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP4,optimistic,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP5,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP5,baseline,0,0,0,0.0
Fossil Fuels [EJ],East Asia,SSP5,optimistic,0,0,0,0.0
Fossil Fuels [EJ],North Africa and Middle East,SSP1,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],North Africa and Middle East,SSP1,baseline,0,0,0,0.0
Fossil Fuels [EJ],North Africa and Middle East,SSP1,optimistic,0,0,0,0.0
Fossil Fuels [EJ],North Africa and Middle East,SSP2,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],North Africa and Middle East,SSP2,baseline,0,0,0,0.0
Fossil Fuels [EJ],North Africa and Middle East,SSP2,optimistic,0,0,0,0.0
Fossil Fuels [EJ],North Africa and Middle East,SSP3,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],North Africa and Middle East,SSP3,baseline,0,0,0,0.0
Fossil Fuels [EJ],North Africa and Middle East,SSP3,optimistic,0,0,0,0.0
Fossil Fuels [EJ],North Africa and Middle East,SSP4,pessimistic,0,0,0,0.0
