,,,,2020,2030,2040,2050
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,baseline,-6.686097163447336,-9.525496921173602,-13.773806595271504,-17.99955946381959
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,optimistic,-6.6839214571377275,-9.520694229620489,-13.763137523964131,-17.979199475612642
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,pessimistic,-6.686771493480135,-9.521033228553087,-13.764363211272823,-17.992332741255115
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,baseline,-6.686771493480135,-9.521033228553087,-13.764363211272823,-17.992332741255115
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,optimistic,-6.684679754730256,-9.515617282200925,-13.75225553432566,-17.97087486128867
Water Cons. Green [BCM],Central Europe,SSP1,pessimistic,-69.47997508963124,-83.01030907961719,-103.31196095511702,-123.38940702497518
Water Cons. Green [BCM],Central Europe,SSP1,baseline,-69.47997508963124,-83.01030907961719,-103.31196095511702,-123.38940702497518
Water Cons. Green [BCM],Central Europe,SSP1,optimistic,-69.44557911831218,-82.93880672904503,-103.18459538314166,-123.1785750737597
Water Cons. Green [BCM],Central Europe,SSP2,pessimistic,-69.47628160808306,-83.04832351848475,-103.32623936813062,-123.500094074326
Water Cons. Green [BCM],Central Europe,SSP2,baseline,-69.47628160808306,-83.04832351848475,-103.32623936813062,-123.500094074326
Water Cons. Green [BCM],Central Europe,SSP2,optimistic,-69.44141225417788,-82.98129220927193,-103.199793505167,-123.30127289457984
Water Cons. Green [BCM],Central Europe,SSP3,pessimistic,-69.47293530740839,-83.093514161387,-103.44565517566159,-123.65723522252162
Water Cons. Green [BCM],Central Europe,SSP3,baseline,-69.47293530740839,-83.093514161387,-103.44565517566159,-123.65723522252162
Water Cons. Green [BCM],Central Europe,SSP3,optimistic,-69.43760732365088,-83.03173659807973,-103.3333859894269,-123.47627864497802
Water Cons. Green [BCM],Central Europe,SSP4,pessimistic,-69.47336344635087,-83.0914138086034,-103.41517923938966,-123.52834749272806
Water Cons. Green [BCM],Central Europe,SSP4,baseline,-69.47336344635087,-83.0914138086034,-103.41517923938966,-123.52834749272806
Water Cons. Green [BCM],Central Europe,SSP4,optimistic,-69.43808698369362,-83.02938336736132,-103.29922296141302,-123.33165400992482
Water Cons. Green [BCM],Central Europe,SSP5,pessimistic,-69.47994627116279,-82.99906363521298,-103.2255273938326,-123.23397312851442
Water Cons. Green [BCM],Central Europe,SSP5,baseline,-69.47994627116279,-82.99906363521298,-103.2255273938326,-123.23397312851442
Water Cons. Green [BCM],Central Europe,SSP5,optimistic,-69.44556133279013,-82.92623917753868,-103.08810638975002,-123.00589822016737
Water Cons. Green [BCM],Central Latin America,SSP1,pessimistic,-53.84743724115936,-51.83889040102437,-48.8897367748418,-45.88477962813697
Water Cons. Green [BCM],Central Latin America,SSP1,baseline,-53.84743724115936,-51.83889040102437,-48.8897367748418,-45.88477962813697
Water Cons. Green [BCM],Central Latin America,SSP1,optimistic,-53.8269473758756,-51.807713698519365,-48.84964189697222,-45.83174241007209
Water Cons. Green [BCM],Central Latin America,SSP2,pessimistic,-53.844884491348374,-51.85380693043253,-48.911861189651304,-45.94597163335858
Water Cons. Green [BCM],Central Latin America,SSP2,baseline,-53.844884491348374,-51.85380693043253,-48.911861189651304,-45.94597163335858
Water Cons. Green [BCM],Central Latin America,SSP2,optimistic,-53.82405104965868,-51.82430793471161,-48.87481611905376,-45.89942927221548
Water Cons. Green [BCM],Central Latin America,SSP3,pessimistic,-53.84149158245226,-51.87812490243269,-48.95299472616393,-46.00998195733388
Water Cons. Green [BCM],Central Latin America,SSP3,baseline,-53.84149158245226,-51.87812490243269,-48.95299472616393,-46.00998195733388
Water Cons. Green [BCM],Central Latin America,SSP3,optimistic,-53.82021762562088,-51.85130410840831,-48.920409008503036,-45.97058390383556
Water Cons. Green [BCM],Central Latin America,SSP4,pessimistic,-53.84174962162615,-51.877614346718296,-48.942034738979224,-45.971859358086505
Water Cons. Green [BCM],Central Latin America,SSP4,baseline,-53.84174962162615,-51.877614346718296,-48.942034738979224,-45.971859358086505
Water Cons. Green [BCM],Central Latin America,SSP4,optimistic,-53.82050668999528,-51.85076291303322,-48.90828618808954,-45.92858195080685
Water Cons. Green [BCM],Central Latin America,SSP5,pessimistic,-53.846926562255824,-51.83737500232159,-48.847684980013724,-45.86597095714686
Water Cons. Green [BCM],Central Latin America,SSP5,baseline,-53.846926562255824,-51.83737500232159,-48.847684980013724,-45.86597095714686
Water Cons. Green [BCM],Central Latin America,SSP5,optimistic,-53.82640649866004,-51.80609344966667,-48.80252253847919,-45.811816352206115
Water Cons. Green [BCM],East Asia,SSP1,pessimistic,-52.669789838365475,-49.5038705985367,-44.847427002371276,-40.16826702337713
Water Cons. Green [BCM],East Asia,SSP1,baseline,-52.669789838365475,-49.5038705985367,-44.847427002371276,-40.16826702337713
Water Cons. Green [BCM],East Asia,SSP1,optimistic,-52.64806585823063,-49.47190712875788,-44.81185192363043,-40.12909239021487
Water Cons. Green [BCM],East Asia,SSP2,pessimistic,-52.669273573771676,-49.52101956555575,-44.858484955596474,-40.209924736111766
Water Cons. Green [BCM],East Asia,SSP2,baseline,-52.669273573771676,-49.52101956555575,-44.858484955596474,-40.209924736111766
Water Cons. Green [BCM],East Asia,SSP2,optimistic,-52.647468481865126,-49.49084637040856,-44.82370898156639,-40.17404955033015
Water Cons. Green [BCM],East Asia,SSP3,pessimistic,-52.66655212450546,-49.55174450074008,-44.90384275685188,-40.26925826276062
Water Cons. Green [BCM],East Asia,SSP3,baseline,-52.66655212450546,-49.55174450074008,-44.90384275685188,-40.26925826276062
Water Cons. Green [BCM],East Asia,SSP3,optimistic,-52.64441365865823,-49.524949141404996,-44.87340273982683,-40.23803980067841
Water Cons. Green [BCM],East Asia,SSP4,pessimistic,-52.66677067923601,-49.5498340449203,-44.890987108031865,-40.227336818252475
Water Cons. Green [BCM],East Asia,SSP4,baseline,-52.66677067923601,-49.5498340449203,-44.890987108031865,-40.227336818252475
Water Cons. Green [BCM],East Asia,SSP4,optimistic,-52.64465495531278,-49.522833972337274,-44.85923500468807,-40.19254330022173
Water Cons. Green [BCM],East Asia,SSP5,pessimistic,-52.66922454565615,-49.498175147841465,-44.8162355774922,-40.14984596892868
Water Cons. Green [BCM],East Asia,SSP5,baseline,-52.66922454565615,-49.498175147841465,-44.8162355774922,-40.14984596892868
Water Cons. Green [BCM],East Asia,SSP5,optimistic,-52.647451067403765,-49.46563973683589,-44.777639656252305,-40.109525588873076
Water Cons. Green [BCM],North Africa and Middle East,SSP1,pessimistic,-53.23724168980121,-50.624219142205035,-46.75544188098571,-42.87557048215551
Water Cons. Green [BCM],North Africa and Middle East,SSP1,baseline,-53.23724168980121,-50.624219142205035,-46.75544188098571,-42.87557048215551
Water Cons. Green [BCM],North Africa and Middle East,SSP1,optimistic,-53.22030455699953,-50.60064699852181,-46.72803005227506,-42.84528968232674
Water Cons. Green [BCM],North Africa and Middle East,SSP2,pessimistic,-53.23539942387496,-50.630116621499745,-46.75910038427428,-42.882510983217685
Water Cons. Green [BCM],North Africa and Middle East,SSP2,baseline,-53.23539942387496,-50.630116621499745,-46.75910038427428,-42.882510983217685
Water Cons. Green [BCM],North Africa and Middle East,SSP2,optimistic,-53.21822316667459,-50.60729324974526,-46.732233056968134,-42.852315341204374
Water Cons. Green [BCM],North Africa and Middle East,SSP3,pessimistic,-53.23209894482044,-50.644836122475944,-46.77735978910447,-42.903132803733605
Water Cons. Green [BCM],North Africa and Middle East,SSP3,baseline,-53.23209894482044,-50.644836122475944,-46.77735978910447,-42.903132803733605
Water Cons. Green [BCM],North Africa and Middle East,SSP3,optimistic,-53.21452364527797,-50.623639230439274,-46.75267146719078,-42.87528888455264
Water Cons. Green [BCM],North Africa and Middle East,SSP4,pessimistic,-53.232136679743114,-50.644930748782045,-46.771112913725226,-42.88459568523016
Water Cons. Green [BCM],North Africa and Middle East,SSP4,baseline,-53.232136679743114,-50.644930748782045,-46.771112913725226,-42.88459568523016
Water Cons. Green [BCM],North Africa and Middle East,SSP4,optimistic,-53.21456515193223,-50.62377029261466,-46.74576972041538,-42.85478375845331
Water Cons. Green [BCM],North Africa and Middle East,SSP5,pessimistic,-53.23733826946197,-50.62134620837244,-46.74016737467998,-42.866813409471504
Water Cons. Green [BCM],North Africa and Middle East,SSP5,baseline,-53.23733826946197,-50.62134620837244,-46.74016737467998,-42.866813409471504
Water Cons. Green [BCM],North Africa and Middle East,SSP5,optimistic,-53.22043032447321,-50.59737687966946,-46.711050745038634,-42.836020895297686
Fossil Fuels [EJ],Central Europe,SSP1,pessimistic,-0.07825331511366597,-0.07945687709628868,-0.08137560570253367,-0.08319547663397175
Fossil Fuels [EJ],Central Europe,SSP1,baseline,-0.07825331511366597,-0.07945687709628868,-0.08137560570253367,-0.08319547663397175
Fossil Fuels [EJ],Central Europe,SSP1,optimistic,-0.0782853535657823,-0.07951142767745259,-0.08145085249280938,-0.08329614455741731
Fossil Fuels [EJ],Central Europe,SSP2,pessimistic,-0.07824934844272419,-0.0794963223840877,-0.08139544933382419,-0.08329184927982232
Fossil Fuels [EJ],Central Europe,SSP2,baseline,-0.07824934844272419,-0.0794963223840877,-0.08139544933382419,-0.08329184927982232
Fossil Fuels [EJ],Central Europe,SSP2,optimistic,-0.07828177949121964,-0.07954747513807589,-0.08147001142398493,-0.08338666853565208
Fossil Fuels [EJ],Central Europe,SSP3,pessimistic,-0.07824597845592286,-0.07954414479412734,-0.08149981991924647,-0.08342036609597955
Fossil Fuels [EJ],Central Europe,SSP3,baseline,-0.07824597845592286,-0.07954414479412734,-0.08149981991924647,-0.08342036609597955
Fossil Fuels [EJ],Central Europe,SSP3,optimistic,-0.07827878558477178,-0.07959117236650705,-0.08156597727426002,-0.08350671890315134
Fossil Fuels [EJ],Central Europe,SSP4,pessimistic,-0.07824648157338498,-0.07954205114514097,-0.08147380767900686,-0.08332554350184371
Fossil Fuels [EJ],Central Europe,SSP4,baseline,-0.07824648157338498,-0.07954205114514097,-0.08147380767900686,-0.08332554350184371
Fossil Fuels [EJ],Central Europe,SSP4,optimistic,-0.07827924085751402,-0.079589259139681,-0.08154215063015066,-0.08341930685344498
Fossil Fuels [EJ],Central Europe,SSP5,pessimistic,-0.07825315776949612,-0.07944505089173536,-0.08129781796413744,-0.0830648198080113
Fossil Fuels [EJ],Central Europe,SSP5,baseline,-0.07825315776949612,-0.07944505089173536,-0.08129781796413744,-0.0830648198080113
Fossil Fuels [EJ],Central Europe,SSP5,optimistic,-0.07828519318216245,-0.07950065142884484,-0.08137917272535114,-0.08317335072019748
Fossil Fuels [EJ],Central Latin America,SSP1,pessimistic,-0.0773277817614559,-0.07761685616608552,-0.07814433881871469,-0.07853685225226928
Fossil Fuels [EJ],Central Latin America,SSP1,baseline,-0.0773277817614559,-0.07761685616608552,-0.07814433881871469,-0.07853685225226928
Fossil Fuels [EJ],Central Latin America,SSP1,optimistic,-0.0773534517551456,-0.07765900336970953,-0.07820151350691282,-0.07861969872859026
Fossil Fuels [EJ],Central Latin America,SSP2,pessimistic,-0.0773245578251271,-0.07764103920128375,-0.07817430583198746,-0.07864812758409201
Fossil Fuels [EJ],Central Latin America,SSP2,baseline,-0.0773245578251271,-0.07764103920128375,-0.07817430583198746,-0.07864812758409201
Fossil Fuels [EJ],Central Latin America,SSP2,optimistic,-0.07735057314765717,-0.07768080640936392,-0.07822812251619539,-0.07872057251781901
Fossil Fuels [EJ],Central Latin America,SSP3,pessimistic,-0.07731999635921515,-0.077681653575961,-0.07824488129553105,-0.0787573550236889
Fossil Fuels [EJ],Central Latin America,SSP3,baseline,-0.07731999635921515,-0.077681653575961,-0.07824488129553105,-0.0787573550236889
Fossil Fuels [EJ],Central Latin America,SSP3,optimistic,-0.07734649575543193,-0.07771741182742166,-0.07829201798631495,-0.07881957022101165
Fossil Fuels [EJ],Central Latin America,SSP4,pessimistic,-0.07732037647739964,-0.07768046474962641,-0.07822562855970348,-0.07868716997353653
Fossil Fuels [EJ],Central Latin America,SSP4,baseline,-0.07732037647739964,-0.07768046474962641,-0.07822562855970348,-0.07868716997353653
Fossil Fuels [EJ],Central Latin America,SSP4,optimistic,-0.07734683722780394,-0.0777163230538229,-0.07827458183416061,-0.07875568510863226
Fossil Fuels [EJ],Central Latin America,SSP5,pessimistic,-0.07732674649936548,-0.07761397585715507,-0.07807801520976643,-0.07849455964541885
Fossil Fuels [EJ],Central Latin America,SSP5,baseline,-0.07732674649936548,-0.07761397585715507,-0.07807801520976643,-0.07849455964541885
