Year,SSP_Scenario,Scenario_region,Population,Type,Total_kg,total_Kt,dry_ton
2040,SSP5,East Asia,1335860194,poultry,18253368459,18253.36846,5695050.96
2040,SSP5,Central Europe,1335860194,poultry,19804848045,19804.84805,6179112.592
2040,SSP5,Central Latin America,1335860194,poultry,18320821304,18320.8213,5716096.246
2040,SSP5,North Africa and Middle East,1335860194,poultry,19237308377,19237.30838,6002040.215
2050,SSP1,Central Europe,1488035847,poultry,23090809130,23090.80913,7204332.449
2050,SSP1,East Asia,1488035847,poultry,21743051574,21743.05157,6783832.09
2050,SSP1,North Africa and Middle East,1488035847,poultry,22989765940,22989.76594,7172806.973
2050,SSP1,Central Latin America,1488035847,poultry,21805002598,21805.0026,6803160.811
2050,SSP2,North Africa and Middle East,1714457209,poultry,22032055533,22032.05553,6874001.325
2050,SSP2,Central Europe,1714457209,poultry,23384261996,23384.262,7295889.744
2050,SSP2,Central Latin America,1714457209,poultry,20989789045,20989.78905,6548814.184
2050,SSP2,East Asia,1714457209,poultry,20884202157,20884.20216,6515871.074
2050,SSP3,North Africa and Middle East,2004913219,poultry,12662491123,12662.49112,3950697.229
2050,SSP3,Central Latin America,2004913219,poultry,12077199592,12077.19959,3768086.272
2050,SSP3,East Asia,2004913219,poultry,12085299481,12085.29948,3770613.438
2050,SSP3,Central Europe,2004913219,poultry,15487203158,15487.20316,4832007.386
2050,SSP4,Central Latin America,1981120264,poultry,14101514291,14101.51429,4399672.458
2050,SSP4,East Asia,1981120264,poultry,14078635221,14078.63522,4392534.189
2050,SSP4,North Africa and Middle East,1981120264,poultry,14603330112,14603.33011,4556238.994
2050,SSP4,Central Europe,1981120264,poultry,17884372020,17884.37202,5579924.07
2050,SSP5,East Asia,1464277473,poultry,23120997856,23120.99786,7213751.332
2050,SSP5,Central Europe,1464277473,poultry,23781970807,23781.97081,7419974.893
2050,SSP5,Central Latin America,1464277473,poultry,23241439478,23241.43948,7251329.118
2050,SSP5,North Africa and Middle East,1464277473,poultry,24540448978,24540.44898,7656620.082
2020,SSP1,Central Europe,996712840.3,mutton,4537123350,4537.12335,0
2020,SSP1,East Asia,996712840.3,mutton,2532053563,2532.053563,0
2020,SSP1,North Africa and Middle East,996712840.3,mutton,2579432383,2579.432383,0
2020,SSP1,Central Latin America,996712840.3,mutton,2537579466,2537.579466,0
2020,SSP2,North Africa and Middle East,1022193525,mutton,2394338362,2394.338362,0
2020,SSP2,Central Europe,1022193525,mutton,4418411526,4418.411526,0
2020,SSP2,Central Latin America,1022193525,mutton,2374767927,2374.767927,0
2020,SSP2,East Asia,1022193525,mutton,2369100757,2369.100757,0
