Year,SSP_Scenario,Scenario_region,Population,Type,Total_kg,total_Kt,dry_ton
2015,SSP1,Central Latin America,900712443.8,poultry,4975098837,4975.098837,1552.230837
2015,SSP2,North Africa and Middle East,910603596.1,poultry,3719314569,3719.314569,1160.426146
2015,SSP2,Central Europe,910603596.1,poultry,4419324136,4419.324136,1378.829131
2015,SSP2,Central Latin America,910603596.1,poultry,5032809975,5032.809975,1570.236712
2015,SSP2,East Asia,910603596.1,poultry,4359185779,4359.185779,1360.065963
2015,SSP3,North Africa and Middle East,918630017.6,poultry,3746833189,3746.833189,1169.011955
2015,SSP3,Central Latin America,918630017.6,poultry,5076841590,5076.84159,1583.974576
2015,SSP3,East Asia,918630017.6,poultry,4388469212,4388.469212,1369.202394
2015,SSP3,Central Europe,918630017.6,poultry,4453534340,4453.53434,1389.502714
2015,SSP4,Central Latin America,918135325.1,poultry,5067059435,5067.059435,1580.922544
2015,SSP4,East Asia,918135325.1,poultry,4386105972,4386.105972,1368.465063
2015,SSP4,North Africa and Middle East,918135325.1,poultry,3744815478,3744.815478,1168.382429
2015,SSP4,Central Europe,918135325.1,poultry,4451136062,4451.136062,1388.754451
2015,SSP5,East Asia,900141094.2,poultry,4309125542,4309.125542,1344.447169
2015,SSP5,Central Europe,900141094.2,poultry,4372374956,4372.374956,1364.180986
2015,SSP5,Central Latin America,900141094.2,poultry,4971027986,4971.027986,1550.960731
2015,SSP5,North Africa and Middle East,900141094.2,poultry,3681364996,3681.364996,1148.585879
2020,SSP1,Central Europe,996712840.3,poultry,5604361763,5604.361763,1748.56087
2020,SSP1,East Asia,996712840.3,poultry,5465587045,5465.587045,1705.263158
2020,SSP1,North Africa and Middle East,996712840.3,poultry,4595913614,4595.913614,1433.925048
2020,SSP1,Central Latin America,996712840.3,poultry,6480344157,6480.344157,2021.867377
2020,SSP2,North Africa and Middle East,1022193525,poultry,4575802955,4575.802955,1427.650522
2020,SSP2,Central Europe,1022193525,poultry,5580153994,5580.153994,1741.008046
2020,SSP2,Central Latin America,1022193525,poultry,6414106951,6414.106951,2001.201369
2020,SSP2,East Asia,1022193525,poultry,5408692968,5408.692968,1687.512206
2020,SSP3,North Africa and Middle East,1045757433,poultry,4599088248,4599.088248,1434.915533
2020,SSP3,Central Latin America,1045757433,poultry,6423361645,6423.361645,2004.088833
2020,SSP3,East Asia,1045757433,poultry,5408054216,5408.054216,1687.312915
2020,SSP3,Central Europe,1045757433,poultry,5587427743,5587.427743,1743.277456
2020,SSP4,Central Latin America,1044232337,poultry,6413994038,6413.994038,2001.16614
2020,SSP4,East Asia,1044232337,poultry,5398196715,5398.196715,1684.237375
2020,SSP4,North Africa and Middle East,1044232337,poultry,4590528514,4590.528514,1432.244896
2020,SSP4,Central Europe,1044232337,poultry,5579279233,5579.279233,1740.735121
2020,SSP5,East Asia,994750142.5,poultry,5503140424,5503.140424,1716.979812
2020,SSP5,Central Europe,994750142.5,poultry,5601983772,5601.983772,1747.818937
2020,SSP5,Central Latin America,994750142.5,poultry,6516073206,6516.073206,2033.01484
2020,SSP5,North Africa and Middle East,994750142.5,poultry,4634347822,4634.347822,1445.91652
2025,SSP1,Central Europe,1091533250,poultry,7501269902,7501.269902,2340.396209
