Impact,Region,SSP,Approach,2020,2030,2040,2050
Water Cons. Blue [BCM],Central Latin America,SSP4,baseline,6.634487138,11.50973015,18.60159606,30.28123024
Water Cons. Blue [BCM],Central Latin America,SSP4,optimistic,7.451418591,12.81594579,20.70354267,33.70812403
Water Cons. Blue [BCM],Central Latin America,SSP5,pessimistic,7.230400673,15.03331541,32.97043771,46.48119713
Water Cons. Blue [BCM],Central Latin America,SSP5,baseline,7.230400673,15.03331541,32.97043771,46.48119713
Water Cons. Blue [BCM],Central Latin America,SSP5,optimistic,8.096568943,16.61124092,36.1574938,51.10896973
Water Cons. Blue [BCM],East Asia,SSP1,pessimistic,6.57625831,12.14741524,22.16201736,27.78551785
Water Cons. Blue [BCM],East Asia,SSP1,baseline,6.57625831,12.14741524,22.16201736,27.78551785
Water Cons. Blue [BCM],East Asia,SSP1,optimistic,7.259216207,13.12431549,23.41998095,28.99551979
Water Cons. Blue [BCM],East Asia,SSP2,pessimistic,6.331794759,10.305762,18.25212134,28.17977713
Water Cons. Blue [BCM],East Asia,SSP2,baseline,6.331794759,10.305762,18.25212134,28.17977713
Water Cons. Blue [BCM],East Asia,SSP2,optimistic,6.998777746,11.1786265,19.41902931,29.52688388
Water Cons. Blue [BCM],East Asia,SSP3,pessimistic,6.161639421,9.568020964,12.97956037,16.85984724
Water Cons. Blue [BCM],East Asia,SSP3,baseline,6.161639421,9.568020964,12.97956037,16.85984724
Water Cons. Blue [BCM],East Asia,SSP3,optimistic,6.814088133,10.39446303,13.91280633,17.88162381
Water Cons. Blue [BCM],East Asia,SSP4,pessimistic,6.055303031,9.653528352,13.79812391,19.94761231
Water Cons. Blue [BCM],East Asia,SSP4,baseline,6.055303031,9.653528352,13.79812391,19.94761231
Water Cons. Blue [BCM],East Asia,SSP4,optimistic,6.700182782,10.48531436,14.77713008,21.11630358
Water Cons. Blue [BCM],East Asia,SSP5,pessimistic,6.603284117,12.56177207,23.82249449,29.573992
Water Cons. Blue [BCM],East Asia,SSP5,baseline,6.603284117,12.56177207,23.82249449,29.573992
Water Cons. Blue [BCM],East Asia,SSP5,optimistic,7.288445268,13.55504931,25.10807638,30.7451903
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,pessimistic,12.95624525,36.29453544,110.8690094,196.4326086
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,baseline,12.95624525,36.29453544,110.8690094,196.4326086
Water Cons. Blue [BCM],North Africa and Middle East,SSP1,optimistic,15.29738451,42.61842279,129.6427046,230.2034516
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,pessimistic,12.30322386,30.75286707,85.30090976,193.5168077
