Impact,Region,SSP,Approach,2020,2030,2040,2050
Water Cons. Blue [BCM],Median,SSP2,optimistic,0.866905838,2.112795255,5.621509236,12.10090858
Water Cons. Blue [BCM],Median,SSP3,pessimistic,0.791230828,1.721754157,3.303560524,5.738927012
Water Cons. Blue [BCM],Median,SSP3,baseline,0.791230828,1.721754157,3.303560524,5.738927012
Water Cons. Blue [BCM],Median,SSP3,optimistic,0.835328275,1.870437815,3.670745203,6.443622778
Water Cons. Blue [BCM],Median,SSP4,pessimistic,0.781196433,1.748224084,3.594163034,6.851275134
Water Cons. Blue [BCM],Median,SSP4,baseline,0.781196433,1.748224084,3.594163034,6.851275134
Water Cons. Blue [BCM],Median,SSP4,optimistic,0.824977996,1.898492533,3.986201639,7.668648395
Water Cons. Blue [BCM],Median,SSP5,pessimistic,0.88304446,2.438894411,7.534499606,12.00071798
Water Cons. Blue [BCM],Median,SSP5,baseline,0.88304446,2.438894411,7.534499606,12.00071798
Water Cons. Blue [BCM],Median,SSP5,optimistic,0.930032214,2.630514264,8.263537475,13.3397142
Water Cons. Green [BCM],Central Europe,SSP1,pessimistic,32.15945948,65.24330875,150.9143994,230.15161
Water Cons. Green [BCM],Central Europe,SSP1,baseline,32.15945948,65.24330875,150.9143994,230.15161
Water Cons. Green [BCM],Central Europe,SSP1,optimistic,36.60439174,73.47379775,168.8616747,257.4621842
Water Cons. Green [BCM],Central Europe,SSP2,pessimistic,31.49891232,56.28315192,128.0603364,233.3736611
Water Cons. Green [BCM],Central Europe,SSP2,baseline,31.49891232,56.28315192,128.0603364,233.3736611
Water Cons. Green [BCM],Central Europe,SSP2,optimistic,35.87915427,63.60329168,143.6017579,261.0313156
Water Cons. Green [BCM],Central Europe,SSP3,pessimistic,31.26321913,55.41361125,93.95040185,146.6656082
Water Cons. Green [BCM],Central Europe,SSP3,baseline,31.26321913,55.41361125,93.95040185,146.6656082
Water Cons. Green [BCM],Central Europe,SSP3,optimistic,35.6203786,62.64540594,105.9010605,164.9830438
Water Cons. Green [BCM],Central Europe,SSP4,pessimistic,31.05637829,55.40290763,96.38912043,172.9860205
Water Cons. Green [BCM],Central Europe,SSP4,baseline,31.05637829,55.40290763,96.38912043,172.9860205
Water Cons. Green [BCM],Central Europe,SSP4,optimistic,35.39328092,62.63361483,108.5965037,194.1386992
Water Cons. Green [BCM],Central Europe,SSP5,pessimistic,32.09283695,68.15826374,161.7254657,237.7404206
Water Cons. Green [BCM],Central Europe,SSP5,baseline,32.09283695,68.15826374,161.7254657,237.7404206
Water Cons. Green [BCM],Central Europe,SSP5,optimistic,36.53124456,76.68491129,180.8108251,265.8684638
Water Cons. Green [BCM],Central Latin America,SSP1,pessimistic,14.95242967,30.18979429,63.12608936,80.74652176
Water Cons. Green [BCM],Central Latin America,SSP1,baseline,14.95242967,30.18979429,63.12608936,80.74652176
Water Cons. Green [BCM],Central Latin America,SSP1,optimistic,17.21788372,33.66304145,69.02757194,87.5253917
Water Cons. Green [BCM],Central Latin America,SSP2,pessimistic,14.05607055,25.20907063,47.9679736,77.38966485
Water Cons. Green [BCM],Central Latin America,SSP2,baseline,14.05607055,25.20907063,47.9679736,77.38966485
Water Cons. Green [BCM],Central Latin America,SSP2,optimistic,16.24129917,28.25219866,52.63833559,83.91509631
Water Cons. Green [BCM],Central Latin America,SSP3,pessimistic,13.47594322,22.27729879,30.70232262,40.68972577
Water Cons. Green [BCM],Central Latin America,SSP3,baseline,13.47594322,22.27729879,30.70232262,40.68972577
Water Cons. Green [BCM],Central Latin America,SSP3,optimistic,15.60924961,25.06724852,33.970393,44.44435799
Water Cons. Green [BCM],Central Latin America,SSP4,pessimistic,13.30216518,22.53667107,33.44322693,49.02537574
Water Cons. Green [BCM],Central Latin America,SSP4,baseline,13.30216518,22.53667107,33.44322693,49.02537574
Water Cons. Green [BCM],Central Latin America,SSP4,optimistic,15.41991818,25.34901935,36.93390967,53.40933905
Water Cons. Green [BCM],Central Latin America,SSP5,pessimistic,15.04157919,31.87658094,70.17524712,86.66142969
Water Cons. Green [BCM],Central Latin America,SSP5,baseline,15.04157919,31.87658094,70.17524712,86.66142969
Water Cons. Green [BCM],Central Latin America,SSP5,optimistic,17.31501225,35.49549351,76.64925227,93.88686774
Water Cons. Green [BCM],East Asia,SSP1,pessimistic,14.62294422,28.70785496,57.34493972,69.90861633
Water Cons. Green [BCM],East Asia,SSP1,baseline,14.62294422,28.70785496,57.34493972,69.90861633
Water Cons. Green [BCM],East Asia,SSP1,optimistic,16.77739482,31.80737892,61.994383,74.37567343
Water Cons. Green [BCM],East Asia,SSP2,pessimistic,13.7474536,24.02893432,43.66328735,66.83506795
Water Cons. Green [BCM],East Asia,SSP2,baseline,13.7474536,24.02893432,43.66328735,66.83506795
Water Cons. Green [BCM],East Asia,SSP2,optimistic,15.82570865,26.7496309,47.35013129,71.12567653
Water Cons. Green [BCM],East Asia,SSP3,pessimistic,13.1809648,21.23652328,28.03598548,35.34659892
Water Cons. Green [BCM],East Asia,SSP3,baseline,13.1809648,21.23652328,28.03598548,35.34659892
Water Cons. Green [BCM],East Asia,SSP3,optimistic,15.20991729,23.73113315,30.6233401,37.82949433
Water Cons. Green [BCM],East Asia,SSP4,pessimistic,13.01111157,21.4835934,30.53895223,42.48011239
Water Cons. Green [BCM],East Asia,SSP4,baseline,13.01111157,21.4835934,30.53895223,42.48011239
Water Cons. Green [BCM],East Asia,SSP4,optimistic,15.02528143,23.99820724,33.30240796,45.37253378
Water Cons. Green [BCM],East Asia,SSP5,pessimistic,14.71002891,30.25933496,63.79066591,74.83984703
Water Cons. Green [BCM],East Asia,SSP5,baseline,14.71002891,30.25933496,63.79066591,74.83984703
Water Cons. Green [BCM],East Asia,SSP5,optimistic,16.87205864,33.48447402,68.89361083,79.58999985
Water Cons. Green [BCM],North Africa and Middle East,SSP1,pessimistic,15.64849417,30.47283795,63.03228892,78.75108919
Water Cons. Green [BCM],North Africa and Middle East,SSP1,baseline,15.64849417,30.47283795,63.03228892,78.75108919
Water Cons. Green [BCM],North Africa and Middle East,SSP1,optimistic,17.91964917,33.79817598,68.36217705,84.29847871
Water Cons. Green [BCM],North Africa and Middle East,SSP2,pessimistic,14.61044272,25.86358524,47.05526713,75.12196427
Water Cons. Green [BCM],North Africa and Middle East,SSP2,baseline,14.61044272,25.86358524,47.05526713,75.12196427
Water Cons. Green [BCM],North Africa and Middle East,SSP2,optimistic,16.79047623,28.80795528,51.20399592,80.43825997
Water Cons. Green [BCM],North Africa and Middle East,SSP3,pessimistic,14.13558589,22.81834059,30.75137021,39.61716093
Water Cons. Green [BCM],North Africa and Middle East,SSP3,baseline,14.13558589,22.81834059,30.75137021,39.61716093
