,,,2020,2030,2040,2050
CH4 [GtonCO2_eq],Central Europe,SSP1,0.005859670867516987,0.011257281555513612,0.01633181636669506,0.022382889739853813
CH4 [GtonCO2_eq],Central Europe,SSP2,0.005948757870455657,0.010323139899137024,0.015386313059761594,0.019821959819784605
CH4 [GtonCO2_eq],Central Europe,SSP3,0.005989356893815811,0.009261859760286434,0.013128724640677696,0.016627537647135256
CH4 [GtonCO2_eq],Central Europe,SSP4,0.0059791348682731085,0.00931728872681593,0.013633026788864357,0.018432724654837935
CH4 [GtonCO2_eq],Central Europe,SSP5,0.005876242266892736,0.01148935892304452,0.018039508713913754,0.02616205480416929
CH4 [GtonCO2_eq],Central Latin America,SSP1,0.0027804123341553,0.004684223060628479,0.006495763816809186,0.010277408195021182
CH4 [GtonCO2_eq],Central Latin America,SSP2,0.002848801408238067,0.004385195679057151,0.006125985180762687,0.008974240619450097
CH4 [GtonCO2_eq],Central Latin America,SSP3,0.0029262005217443195,0.0039856584048681264,0.005175266473281435,0.007182081549284952
CH4 [GtonCO2_eq],Central Latin America,SSP4,0.002920422300573663,0.003994869599871944,0.005408194865725777,0.008240521233624329
CH4 [GtonCO2_eq],Central Latin America,SSP5,0.0028192840042122655,0.004805720069443172,0.007278400717773123,0.011348602751898137
CH4 [GtonCO2_eq],East Asia,SSP1,0.006047744515628675,0.009703986269765616,0.012849249313639764,0.016531014436200486
CH4 [GtonCO2_eq],East Asia,SSP2,0.006062410495935848,0.009116299962544771,0.012254739088693558,0.015215920030011812
CH4 [GtonCO2_eq],East Asia,SSP3,0.006144921979591623,0.0083101926588526,0.010683931841739928,0.012594408936425175
CH4 [GtonCO2_eq],East Asia,SSP4,0.006137169445277199,0.00837627217079606,0.01107957809672989,0.014281412559227536
CH4 [GtonCO2_eq],East Asia,SSP5,0.006073790614278276,0.009912950414439467,0.013846340879563738,0.017404107579919236
CH4 [GtonCO2_eq],North Africa and Middle East,SSP1,0.0025000274863574003,0.003819958894164871,0.004790975105672242,0.007167689047991672
CH4 [GtonCO2_eq],North Africa and Middle East,SSP2,0.0025499034237663775,0.003922970875120004,0.004829124907246885,0.0067208695638788975
CH4 [GtonCO2_eq],North Africa and Middle East,SSP3,0.0026516956140968254,0.0037757903086366156,0.0049435462881537015,0.006675161988789791
CH4 [GtonCO2_eq],North Africa and Middle East,SSP4,0.002652343400878298,0.003765187863482688,0.005056448650726802,0.0067079103524647415
CH4 [GtonCO2_eq],North Africa and Middle East,SSP5,0.0025032703478116937,0.0038260420895683427,0.0050380155999738,0.007674911814812912
N2O [GtonCO2_eq],Central Europe,SSP1,0.012244551151274707,0.024079775057158262,0.03628916621754447,0.051877515906887
N2O [GtonCO2_eq],Central Europe,SSP2,0.012430710133406797,0.022081608728517523,0.03418826538120744,0.045941969415504526
N2O [GtonCO2_eq],Central Europe,SSP3,0.012515547119891224,0.01981148810577044,0.02917192184969563,0.03853815833489668
N2O [GtonCO2_eq],Central Europe,SSP4,0.012494186856243148,0.019930052879961233,0.03029247721647501,0.042722096101366076
N2O [GtonCO2_eq],Central Europe,SSP5,0.01227917926467539,0.024576197819460497,0.04008364504609168,0.06063660367499475
N2O [GtonCO2_eq],Central Latin America,SSP1,0.005841832302399764,0.010122425080900688,0.014662050526620497,0.02427449464000111
N2O [GtonCO2_eq],Central Latin America,SSP2,0.005985522321733065,0.009476238460910434,0.01382739686649098,0.021196507103971366
N2O [GtonCO2_eq],Central Latin America,SSP3,0.006148143036595263,0.008612853845723089,0.01168146205144377,0.01696355703372939
N2O [GtonCO2_eq],Central Latin America,SSP4,0.006136002607397857,0.008632758882292715,0.012207221293189862,0.01946351499547373
N2O [GtonCO2_eq],Central Latin America,SSP5,0.0059235042813944655,0.010384975423457558,0.016428595941267554,0.026804578687930302
N2O [GtonCO2_eq],East Asia,SSP1,0.012762634157181945,0.021160801885972642,0.029489713976958633,0.040034001302415134
N2O [GtonCO2_eq],East Asia,SSP2,0.012793583966771492,0.019879275596469567,0.028125281233725867,0.036849170064620136
N2O [GtonCO2_eq],East Asia,SSP3,0.012967709027258164,0.01812145396756939,0.02452019464123932,0.030500522863480935
N2O [GtonCO2_eq],East Asia,SSP4,0.012951348752946434,0.01826554892215838,0.025428223944006775,0.03458602563111025
N2O [GtonCO2_eq],East Asia,SSP5,0.012817599578986056,0.02161647533228535,0.03177809241598433,0.042148415525861446
N2O [GtonCO2_eq],North Africa and Middle East,SSP1,0.005152603807911203,0.007937587990678178,0.0100781446891324,0.015264021510866893
